file_name;uiqm;uicm;uism;uiconm
4491.jpg;1.142100;4.383360;2.597100;0.996360
4492.jpg;1.160600;4.433570;2.607400;1.015300
4493.jpg;1.153200;4.505910;2.680200;1.000600
4494.jpg;1.098700;4.326520;2.598000;0.949430
4495.jpg;1.074800;4.332430;2.598000;0.923290
4496.jpg;1.051400;4.281170;2.613200;0.896880
4497.jpg;1.119400;4.227270;2.571000;0.974950
4498.jpg;1.036200;3.948330;2.655900;0.879490
4499.jpg;1.045300;4.096220;2.666200;0.887370
45.jpg;1.273600;3.069930;2.938400;1.121900
450.jpg;0.949170;3.672590;1.723700;0.863710
4500.jpg;1.105400;4.202190;2.611700;0.956610
4501.jpg;1.060500;3.934310;2.640300;0.907360
4502.jpg;1.053500;3.987060;2.509100;0.910120
4503.jpg;1.089900;4.138320;2.688000;0.933850
4504.jpg;1.064900;3.975000;2.601800;0.915030
4505.jpg;1.076300;3.717390;2.537500;0.934820
4506.jpg;1.046100;3.503260;2.390300;0.915700
4507.jpg;1.026500;3.638950;2.266200;0.903550
4508.jpg;0.955150;3.866170;2.139600;0.834360
4509.jpg;1.061900;3.825460;2.565500;0.915880
451.jpg;0.918750;3.983740;1.599100;0.838380
4510.jpg;1.035600;3.824850;2.441800;0.897410
4511.jpg;1.091400;3.970260;2.547600;0.948400
4512.jpg;1.035400;3.968300;2.405300;0.899070
4513.jpg;1.228900;3.090750;2.425000;1.115400
4514.jpg;1.193200;3.043230;2.353700;1.082800
4515.jpg;1.179800;3.190070;2.333200;1.068700
4516.jpg;1.261000;5.050080;2.570600;1.122900
4517.jpg;1.278700;5.204730;2.584200;1.139900
4518.jpg;1.291600;4.780720;2.591000;1.156800
4519.jpg;1.243400;4.039350;2.395500;1.126200
452.jpg;0.902980;4.137150;1.520800;0.826440
4520.jpg;1.213600;3.724420;2.501100;1.087400
4521.jpg;1.248500;3.723520;2.546300;1.121800
4522.jpg;1.218500;3.718520;2.490800;1.093700
4523.jpg;1.217100;4.051460;2.466200;1.091600
4524.jpg;1.187500;3.864360;2.388600;1.067200
4525.jpg;1.258700;4.313950;2.633900;1.121000
4526.jpg;1.215000;4.117660;2.425200;1.092200
4527.jpg;1.258100;3.911160;2.537700;1.131500
4528.jpg;1.195800;4.138470;2.272600;1.083600
4529.jpg;1.284700;4.394600;2.570000;1.154000
453.jpg;0.865050;4.213380;1.441600;0.791020
4530.jpg;1.338300;4.826540;2.543500;1.211200
4531.jpg;1.308400;4.411780;2.668100;1.171600
4532.jpg;1.321300;4.345970;2.679200;1.185300
4533.jpg;1.179000;3.572070;2.264600;1.070500
4534.jpg;1.162800;3.575480;2.143000;1.062800
4535.jpg;1.220200;3.218890;2.294000;1.115700
4536.jpg;1.202600;3.799470;2.261000;1.094600
4537.jpg;1.192500;4.394690;2.226200;1.081800
4538.jpg;1.242800;4.210960;2.430200;1.121400
4539.jpg;1.203200;4.199550;2.206100;1.096800
454.jpg;0.806030;4.351190;1.382800;0.730430
4540.jpg;1.277800;4.469080;2.532700;1.149000
4541.jpg;1.170700;4.033930;2.103900;1.071000
4542.jpg;1.207400;3.229000;2.154400;1.113200
4543.jpg;1.164600;3.324210;2.081700;1.071900
4544.jpg;1.231400;3.140830;2.270900;1.130500
4545.jpg;1.167300;3.198600;2.168800;1.068500
4546.jpg;1.160100;3.306540;2.133200;1.062800
